Nouns,Errors_in_non_count_form,Type,Condition_label,Numeral,First_adjective,First_adjective_stem_modification_m,First_adjective_stem_modification_m_def,First_adjective_stem_modification_f,First_adjective_stem_modification_n,First_adjective_stem_modification_pl,Second_adjective,Second_adjective_stem_modification_m,Second_adjective_stem_modification_m_def,Second_adjective_stem_modification_f,Second_adjective_stem_modification_n,Second_adjective_stem_modification_pl,Gender_and_number_of_final_noun,Number_of_final_noun,Definite_ending_if_final_noun_is_masculine,Condition_beginning,First_position_first_adjective,First_position_second_adjective,Condition_target_noun,Condition_middle,Second_position_first_adjective,Second_position_second_adjective,Condition_end,Target_noun_base_form,Target_noun_count_form,Target_noun_plural_form,Target_noun_other_plural_forms,Final_noun,Group,Numeral_Type,Final_sentence,Number_of_words_in_condition_in_target_region,Number_of_words_in_condition,All_colums_with_count_forms_with_the_wrong_ending,All_colums_with_plural_forms_with_the_wrong_ending,All_columns_with_identical_plural_and_count_forms
,,target1,A2+count,два,напет,напет,напет,напета,напето,напети,пъргав,пъргав,пъргав,пъргава,пъргаво,пъргави,n,sg,,седем,напети,пъргави,коня,бяха разресвани от,,,момчето,кон,коня,коне,,момче,D,high,седем напети пъргави коня бяха разресвани от момчето,4,8,,,
,,target1,A2+plural,два,напет,напет,напет,напета,напето,напети,пъргав,пъргав,пъргав,пъргава,пъргаво,пъргави,n,sg,,седем,напети,пъргави,коне,бяха разресвани от,,,момчето,кон,коня,коне,,момче,A,high,седем напети пъргави коне бяха разресвани от момчето,4,8,,,
,,target1,A0+count,два,луксозен,луксозн,луксозн,луксозна,луксозно,луксозни,морски,морск,морск,морска,морско,морски,m,sg,,два,,,имота,се продаваха в,луксозния,морски,курорт,имот,имота,имоти,,курорт,C,low,два имота се продаваха в луксозния морски курорт,2,8,,,
,,target1,A0+plural,два,луксозен,луксозн,луксозн,луксозна,луксозно,луксозни,морски,морск,морск,морска,морско,морски,m,sg,,два,,,имоти,се продаваха в,луксозния,морски,курорт,имот,имота,имоти,,курорт,D,low,два имоти се продаваха в луксозния морски курорт,2,8,,,
,,target1,A2+count,два,луксозен,луксозн,луксозн,луксозна,луксозно,луксозни,морски,морск,морск,морска,морско,морски,m,sg,,два,луксозни,морски,имота,се продаваха в,,,курорта,имот,имота,имоти,,курорт,A,low,два луксозни морски имота се продаваха в курорта,4,8,,,
,,target1,A2+plural,два,луксозен,луксозн,луксозн,луксозна,луксозно,луксозни,морски,морск,морск,морска,морско,морски,m,sg,,два,луксозни,морски,имоти,се продаваха в,,,курорта,имот,имота,имоти,,курорт,B,low,два луксозни морски имоти се продаваха в курорта,4,8,,,
,,target1,A0+count,два,копринен,копринен,копринен,копринена,копринено,копринени,ален,ален,ален,алена,алено,алени,m,sg,,три,,,гайтана,обточваха,копринения,ален,сукман,гайтан,гайтана,гайтани,,сукман,D,low,три гайтана обточваха копринения ален сукман,2,6,,,
,,target1,A0+plural,два,копринен,копринен,копринен,копринена,копринено,копринени,ален,ален,ален,алена,алено,алени,m,sg,,три,,,гайтани,обточваха,копринения,ален,сукман,гайтан,гайтана,гайтани,,сукман,A,low,три гайтани обточваха копринения ален сукман,2,6,,,
,,target1,A2+count,два,копринен,копринен,копринен,копринена,копринено,копринени,ален,ален,ален,алена,алено,алени,m,sg,,три,копринени,алени,гайтана,обточваха,,,сукмана,гайтан,гайтана,гайтани,,сукман,B,low,три копринени алени гайтана обточваха сукмана,4,6,,,
,,target1,A2+plural,два,копринен,копринен,копринен,копринена,копринено,копринени,ален,ален,ален,алена,алено,алени,m,sg,,три,копринени,алени,гайтани,обточваха,,,сукмана,гайтан,гайтана,гайтани,,сукман,C,low,три копринени алени гайтани обточваха сукмана,4,6,,,
,,target1,A0+count,два,самотен,самотн,самотн,самотна,самотно,самотни,унил,унил,унил,унила,унило,унили,f,sg,,четири,,,клона,приютяваха,самотната,унила,врана,клон,клона,клони,,врана,A,low,четири клона приютяваха самотната унила врана,2,6,,,
,,target1,A0+plural,два,самотен,самотн,самотн,самотна,самотно,самотни,унил,унил,унил,унила,унило,унили,f,sg,,четири,,,клони,приютяваха,самотната,унила,врана,клон,клона,клони,,врана,B,low,четири клони приютяваха самотната унила врана,2,6,,,
,,target1,A2+count,два,самотен,самотн,самотн,самотна,самотно,самотни,унил,унил,унил,унила,унило,унили,f,sg,,четири,самотни,унили,клона,приютяваха,,,враната,клон,клона,клони,,врана,C,low,четири самотни унили клона приютяваха враната,4,6,,,
,,target1,A2+plural,два,самотен,самотн,самотн,самотна,самотно,самотни,унил,унил,унил,унила,унило,унили,f,sg,,четири,самотни,унили,клони,приютяваха,,,враната,клон,клона,клони,,врана,D,low,четири самотни унили клони приютяваха враната,4,6,,,
,,target1,A0+count,два,измит,измит,измит,измита,измито,измити,лъснат,лъснат,лъснат,лъсната,лъснато,лъснати,n,sg,,пет,,,черпака,бяха прибрани в,измитото,лъснато,чекмедже,черпак,черпака,черпаци,,чекмедже,B,high,пет черпака бяха прибрани в измитото лъснато чекмедже,2,8,,,
,,target1,A0+plural,два,измит,измит,измит,измита,измито,измити,лъснат,лъснат,лъснат,лъсната,лъснато,лъснати,n,sg,,пет,,,черпаци,бяха прибрани в,измитото,лъснато,чекмедже,черпак,черпака,черпаци,,чекмедже,C,high,пет черпаци бяха прибрани в измитото лъснато чекмедже,2,8,,,
,,target1,A2+count,два,измит,измит,измит,измита,измито,измити,лъснат,лъснат,лъснат,лъсната,лъснато,лъснати,n,sg,,пет,измити,лъснати,черпака,бяха прибрани в,,,чекмеджето,черпак,черпака,черпаци,,чекмедже,D,high,пет измити лъснати черпака бяха прибрани в чекмеджето,4,8,,,
,,target1,A2+plural,два,измит,измит,измит,измита,измито,измити,лъснат,лъснат,лъснат,лъсната,лъснато,лъснати,n,sg,,пет,измити,лъснати,черпаци,бяха прибрани в,,,чекмеджето,черпак,черпака,черпаци,,чекмедже,A,high,пет измити лъснати черпаци бяха прибрани в чекмеджето,4,8,,,
,,target1,A0+count,два,нов,нов,нов,нова,ново,нови,дървен,дървен,дървен,дървена,дървено,дървени,m,sg,,шест,,,черпака,бяха сложени до,новия,дървен,шкаф,стол,черпака,черпаци,,шкаф,C,high,шест черпака бяха сложени до новия дървен шкаф,2,8,,,
,,target1,A0+plural,два,нов,нов,нов,нова,ново,нови,дървен,дървен,дървен,дървена,дървено,дървени,m,sg,,шест,,,черпаци,бяха сложени до,новия,дървен,шкаф,стол,черпака,черпаци,,шкаф,D,high,шест черпаци бяха сложени до новия дървен шкаф,2,8,,,
,,target1,A2+count,два,нов,нов,нов,нова,ново,нови,дървен,дървен,дървен,дървена,дървено,дървени,m,sg,,шест,нови,дървени,черпака,бяха сложени до,,,шкафа,стол,черпака,черпаци,,шкаф,A,high,шест нови дървени черпака бяха сложени до шкафа,4,8,,,
,,target1,A2+plural,два,нов,нов,нов,нова,ново,нови,дървен,дървен,дървен,дървена,дървено,дървени,m,sg,,шест,нови,дървени,черпаци,бяха сложени до,,,шкафа,стол,черпака,черпаци,,шкаф,B,high,шест нови дървени черпаци бяха сложени до шкафа,4,8,,,
,,target1,A0+count,два,тържествен,тържествен,тържествен,тържествена,тържествено,тържествени,религиозен,религиозн,религиозн,религиозна,религиозно,религиозни,f,sg,,седем,,,празника,бяха отбелязвани с,тържествената,религиозна,церемония,празник,празника,празници,,церемония,D,high,седем празника бяха отбелязвани с тържествената религиозна церемония,2,8,,,
